value,type
0,Adzuki Beans
1,Anasazi Beans
2,Black Beans
3,Borlotti Beans
4,Butter Beans
5,Cannellini Beans
6,Christmas Lima Bean
7,Corona Beans
8,Cranberry Beans
9,Fava Beans
10,Flageolet Beans
11,Garbanzo Beans
12,Great Northern Beans
13,Dark Red Kidney Beans
14,Light Red Kidney Beans
15,White Kidney Beans
16,Green Beans
17,Lima Beans
18,Lupini Beans
19,Marrow Beans
20,Moth Beans
21,Mung Beans
22,Navy Beans
23,Otebu Beans
24,Pink Beans
25,Pinto Beans
26,Red Beans
27,Rice Beans
28,Runner Beans
29,Soybeans
30,Spanish Tolosana Beans
31,"Green, Yellow"
32,Tepary Beans
33,White Beans
