1,Adzuki Beans
2,Anasazi Beans
3,Black Beans
4,Borlotti Beans
5,Butter Beans
6,Cannellini Beans
7,Christmas Lima Bean
8,Corona Beans
9,Fava Beans
10,Flageolet Beans
11,Garbanzo Beans
12,Great Northern Beans
13,Dark Red Kidney Beans
14,Light Red Kidney Beans
15,White Kidney Beans
16,Green Beans
17,Lima Beans
18,Lupini Beans
19,Marrow Beans
20,Moth Beans
21,Mung Beans
22,Navy Beans
23,Otebu Beans
24,Pink Beans
25,Pinto Beans
26,Red Beans
27,Rice Beans
28,Runner Beans
29,Soybeans
30,Spanish Tolosana Beans
31,"Green, Yellow"
32,Tepary Beans
33,White Beans
34,Cranberry Beans
