CD	City	ICAO	Country
AK	ADAK NAS	PADK	US
AK	AKHIOK	PAKH	US
AK	AKUTAN	PAUT	US
AK	AMBLER	PAFM	US
AK	ANAKTUVUK PASS	PAKP	US
AK	ANCHORAGE INTL	PANC	US
AK	ANCHORAGE/WFO	PAFC	US
AK	ANCHORAG/NIKISKI	PAHG	US
AK	ANCHORAGE/LAKE H	PALH	US
AK	ANCHORAGE/ARTCC	PZAN	US
AK	ANCHORAGE/MERRIL	PAMR	US
AK	ANGOON SEAPLANE	PAGN	US
AK	ANIAK	PANI	US
AK	ANNETTE ISLAND	PANT	US
AK	ANVIK	PANV	US
AK	ARCTIC VILLAGE	PARC	US
AK	ATQASUK BURNELL	PATQ	US
AK	ATKA	PAAK	US
AK	BARROW	PABR	US
AK	BARROW ARM-NSA		US
AK	BARTER ISLAND	PABA	US
AK	BETHEL	PABE	US
AK	BETHEL/88D	PABC	US
AK	BETTLES	PABT	US
AK	BIG RIVER LAKES	PALV	US
AK	BIRCHWOOD	PABV	US
AK	BREVIG MISSION	PFKT	US
AK	BUCKLAND	PABL	US
AK	CANTWELL	PATW	US
AK	CAPE LISBURNE	PALU	US
AK	CAPE NEWENHAM	PAEH	US
AK	CAPE ROMANZOF	PACZ	US
AK	CENTRAL	PARL	US
AK	CENTRAL	PACE	US
AK	CENTRAL AK PROF		US
AK	CHANDALAR LAKE	PALR	US
AK	CHEVAK	PAVA	US
AK	CHIGNIK BAY	PAJC	US
AK	CHULITNA	PAEC	US
AK	CIRCLE/PAFC RFC	PACR	US
AK	CLARKS POINT	PFCL	US
AK	COLD BAY	PACD	US
AK	CORDOVA	PACV	US
AK	DEADHORSE	PASC	US
AK	DEERING	PADE	US
AK	DELTA JUNCTION	PABI	US
AK	DILLINGHAM	PADL	US
AK	EAGLE	PAEG	US
AK	EARECKSON/SHEMYA	PASY	US
AK	EGEGIK	PAII	US
AK	EIELSON AFB	PAEI	US
AK	ELFIN COVE	PAEL	US
AK	ELIM APRT	PFEL	US
AK	ELMENDORF AFB	PAED	US
AK	EMMONAK	PAEM	US
AK	EUREKA	PAZK	US
AK	FAIRBANKS	PAFA	US
AK	FAIRBANKS/WFO	PAFG	US
AK	FALSE PASS	PAKF	US
AK	FRBNKS/PEDRO DOM	PAPD	US
AK	FAREWELL LAKE	PAFK	US
AK	BRYANT ARMY AF	PAFR	US
AK	FORT WAINWRIGHT	PAFB	US
AK	FORT YUKON	PAFY	US
AK	FORT YUKON	PFYU	US
AK	FUNTER BAY	PAFN	US
AK	GALBRAITH LAKE	PAGB	US
AK	GALENA	PAGA	US
AK	GAMBELL	PAGM	US
AK	GLENNALLEN PROF		US
AK	GOLOVIN	PAGL	US
